Отметка времени;Пол;Занимаетесь спортом?;Есть ли работа?;Есть ли сердечные заболевания?;Сова или Жаворонок;Есть ли молоко в холодильнике?;Время подъема;Административный округ;Время сна;Кофе или чай?
9.19.2023 20:21:52;0;0;1;0;1;0;1;;2;Чай
9.19.2023 20:23:16;0;1;0;0;0;0;3;2;2;Чай
9.19.2023 20:23:27;0;0;0;0;0;0;3;4;2;Чай
9.19.2023 20:24:34;1;0;1;0;0;1;3;4;3;Чай
9.19.2023 20:24:53;0;1;1;0;0;0;2;4;1;Чай
9.19.2023 20:25:01;0;1;1;1;1;0;0;7;0;Кофе
9.19.2023 20:25:03;1;0;0;0;0;0;3;2;2;Кофе
9.19.2023 20:25:06;0;0;0;0;0;1;3;3;2;Чай
9.19.2023 20:25:08;0;0;0;0;0;0;2;1;2;Чай
9.19.2023 20:25:31;0;1;0;0;0;1;3;3;2;Чай
9.19.2023 20:25:34;0;;1;0;1;1;3;5;1;Чай
9.19.2023 20:25:36;1;0;1;0;0;1;3;4;3;Чай
9.19.2023 20:26:17;0;1;1;0;0;1;2;3;2;Кофе
9.19.2023 20:26:25;0;1;0;0;0;1;3;3;2;Кофе
9.19.2023 20:26:31;0;0;1;0;1;1;1;2;1;Чай
9.19.2023 20:26:45;1;1;1;1;1;1;2;1;2;Кофе
9.19.2023 20:26:48;0;1;1;0;0;1;2;1;2;Чай
9.19.2023 20:26:48;0;0;0;0;0;1;3;4;3;Кофе
9.19.2023 20:27:01;0;1;0;1;0;1;3;0;2;Кофе
9.19.2023 20:27:02;0;1;0;0;0;0;3;2;2;Чай
9.19.2023 20:27:09;0;1;1;0;1;1;3;4;2;Чай
9.19.2023 20:27:16;1;1;1;0;0;1;3;2;3;Чай
9.19.2023 20:27:38;0;0;0;0;0;1;3;4;3;Кофе
9.19.2023 20:28:30;0;0;0;0;0;0;3;4;2;Чай
9.19.2023 20:28:31;0;1;0;0;0;1;3;3;0;Кофе
9.19.2023 20:28:48;0;1;0;0;0;1;3;2;3;Чай
9.19.2023 20:28:53;0;1;1;0;0;1;3;4;3;Чай
9.19.2023 20:29:54;0;1;1;1;1;0;3;3;2;Чай
9.19.2023 20:30:20;0;0;0;0;0;0;2;7;2;Чай
9.19.2023 20:31:40;0;1;1;0;0;1;2;12;2;Чай
9.19.2023 20:31:50;0;1;1;0;0;0;2;4;2;Чай
9.19.2023 20:38:11;0;1;0;1;0;1;3;5;3;Чай
9.19.2023 20:42:24;0;1;0;0;0;1;3;11;3;Кофе
9.19.2023 20:47:23;0;0;1;1;0;1;3;12;2;Чай
9.19.2023 20:57:50;1;1;1;0;0;1;3;5;3;Чай
9.19.2023 21:02:12;0;0;1;0;0;1;3;1;2;Чай
9.19.2023 22:56:34;0;0;0;0;0;1;3;4;1;Чай
9.19.2023 23:08:28;0;1;0;0;0;1;2;11;2;Чай
9.19.2023 23:11:16;0;1;1;1;0;1;2;3;2;Чай
9.20.2023 11:00:03;0;1;1;0;0;1;2;12;2;Кофе
9.19.2023 20:22:58;0;1;1;0;0;1;0;3;2;
